,學校,地區,等級,間/進,總計,,,因傷病,,因經濟困難,,因學業成績不佳,,因志趣不合,,因工作需求,,因懷孕,因育嬰,,因兵役,,因出國,,因論文撰寫,,因適應不良,,因家人傷病,,因考試訓練,,因逾期未註冊、繳費、選課,,其他,,
,,,二技,修,58, -,58, -,6, -,1, -, -, -,3, -,32,3, -,4, -, -, -,1, -, -, -, -, -,3, -,2, -, -, -,3,技職
1071,臺北城市科技大學,臺北市,碩士,,25,19,6,1, -,1,1, -, -, -, -,11,4, -, -, -,1, -, -, -,4, -, -, -,1, -, -, -, -, -, -,1,技職
,,,四技,,406,250,156,9,6,30,26,3, -,4,4,60,44,1, -,1,54, -,4,2, -, -,7,4,18,19,13,11,1,2,47,36,技職
,,,四技,修,218,176,42, -, -,5, -,4,1,3,2,19,6, -, -, -,14, -,2, -, -, -, -, -,9,2, -, -,110,28,10,3,技職
,,,二技,修,106,61,45, -,1,1,2, -, -,1, -,10,9, -, -, -,4, -, -, -, -, -, -, -, -, -, -, -,44,29,1,4,技職
,,,二專,修,238,114,124,2,3, -,2,1,2, -,1,11,19,1, -, -,7, -, -, -, -, -,1, -, -,2, -, -,90,89,2,5,技職
,,,五專,,78,56,22,2,1,2,2,2,2,4,2,18,5, -, -, -,12, -,2, -, -, -,1,3,1,4, -, -,1, -,11,3,技職
1072,敏實科技大學,新竹縣,四技,,13,9,4,2,1,1,1, -,1,2, -,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,修,6,5,1, -, -,1, -, -, -, -, -,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,6,2,4, -, -, -, -, -, -, -,3,2,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1073,醒吾科技大學,新北市,碩士,,9,7,2, -, -, -, -, -, -, -, -,4,1, -,1, -, -, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -,技職
,,,碩士,職,9,6,3, -,1,1, -, -, -, -, -,3, -, -, -,1, -, -,2,1, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,446,203,243,14,17,36,43,14,13,47,76,55,52,7, -, -,9, -,3,10, -, -,13,18,8,3,1,2, -, -,3,2,技職
,,,四技,修,148,68,80,3,1,3,5,31,25,9,11,14,32, -, -,2,5, -, -, -, -, -,1,4, -, -, -, -, -, -,2, -,技職
,,,二技,修,70,28,42,1,4,1,4,10,13, -,3,10,12,1,1, -,3, -,1,2, -, -,1,1, -, -, -,1, -, -, -,1,技職
,,,二專,修,85,47,38,2, -, -,2,23,18,7,1,14,11,1, -, -,1, -, -,1, -, -, -,1, -,1, -,1, -, -, -,1,技職
,,,五專,,38,19,19,1,2,1,1,3, -,8,8,4,3,1, -, -,1, -,1, -, -, -, -, -, -, -, -,4, -, -, -, -,技職
1075,文藻外語大學,高雄市,碩士,,77,17,60,2,7,1,5,1,3, -,4,6,15,2,1,1, -, -,1,5,2,11, -, -, -,2,1,5,2, -, -, -,技職
,,,碩士,職,15,2,13,1,1, -, -, -, -,1, -, -,7, -, -,1, -, -, -, -, -,1, -, -, -,2, -,1, -, -, -, -,技職
,,,四技,,278,111,167,8,24,4,12,35,50,21,23,22,35, -, -, -,5, -,4,7, -, -, -,2,3,5,5,1,4,6, -,2,技職
,,,四技,修,202,76,126,6,6,7,10,5,9,4,10,40,54,7,1,3,3, -,2,2, -, -, -,2,2,8,2,3,4,12, -, -,技職
,,,二技,,15,3,12, -,1, -, -,2,6, -,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -,1,1,1, -,1, -, -,技職
,,,二技,修,41,9,32, -,3, -, -, -,2, -, -,8,20,2, -,1, -, -,1, -, -, -, -, -, -, -, -,1, -,2, -,1,技職
,,,五專,,88,18,70,1,7,1, -,4,15,7,37,1,2, -, -,1, -, -,3,6, -, -, -, -, -, -, -,1,1,1, -, -,技職
1076,華夏科技大學,新北市,碩士,,16,13,3, -, -, -, -, -, -, -, -,3, -, -,1, -, -, -, -, -,2,2, -,1, -, -, -, -,7, -, -, -,技職
,,,碩士,職,10,6,4,1, -, -, -, -, -, -, -,2,1, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -,2,2, -, -,技職
,,,四技,,172,97,75,4,2,9,6,1, -,13,15,6,17,4, -,1,20, -, -,1, -, -,3,2,1,3,2,1,35,21,3,2,技職
,,,四技,修,94,49,45,4,3,2,2, -,1,4,5,23,15, -, -,1,4, -, -, -, -, -, -,2, -,1, -, -,10,13,2,2,技職
,,,二技,,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,44,28,16,1,1, -, -, -, -,1,2,13,7,2, -,1,3, -, -, -, -, -,1, -,1,1, -, -,5,2,3, -,技職
,,,二專,修,33,16,17, -, -, -,1, -, -,1,1,1,4, -, -, -,2, -, -, -, -, -, -, -, -,1, -, -,12,9, -,1,技職
,,,五專,,59,49,10,2,1,1, -,4, -,16,3,8, -, -, -, -,3, -, -,2, -, -,2,1, -, -,1, -,8,3,4, -,技職
1077,慈濟科技大學,花蓮縣,碩士,,17,3,14, -,2, -, -, -, -, -, -,3,8,1, -,2, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,71,31,40,2,4,3,3,7,6,9,17,3,7, -,1,1,3, -, -, -, -, -, -, -,1, -,2,1, -, -, -,1,技職
,,,四技,修,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,技職
,,,二技,,3, -,3, -, -, -, -, -, -, -,1, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,34,5,29, -,2, -, -, -, -, -,2,3,16, -, -,1, -, -, -, -, -, -,1,1,1,6, -, -, -, -, -,1,技職
,,,五專,,59,15,44,1,7,2, -,7,6,5,24, -,3, -, -,2, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -,技職
1078,致理科技大學,新北市,碩士,,10,3,7, -, -, -,2, -, -, -, -,2,1, -, -, -, -, -, -, -,1,2, -, -, -,2, -, -, -, -, -, -,技職
,,,碩士,職,11,3,8, -, -, -, -, -, -, -, -,2,4, -, -, -, -, -, -, -,1,2, -, -, -,2, -, -, -, -, -, -,技職
,,,四技,,194,76,118,3,6,3,7,13,22,22,28,16,26,1, -,3,5,1,3,4, -, -,6,6,3,6,1,8, -, -,1, -,技職
,,,四技,修,280,132,148,2,12,11,11,12,7,21,20,70,69,4, -,16,9, -, -,1, -, -,4,3,1,5,1, -, -, -,1, -,技職
,,,二技,,5,1,4, -, -, -, -, -, -,1,1, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -,技職
,,,五專,,86,19,67,3,5, -,1,4,14,9,36,1,6, -, -, -,1, -,1,3, -, -, -,2, -, -, -, -, -, -, -, -,技職
1079,康寧大學,臺北市,碩士,,10,4,6,1, -, -, -,2,1, -, -,1,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,碩士,職,11,2,9, -, -, -, -, -, -, -, -,2,6, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,2, -, -,一般
,,,學士,,12,4,8, -,1, -, -, -,1,1,3,1,1, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -,2,1, -, -,一般
,,,學士,進,1,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,二技,修,17, -,17, -,5, -,1, -, -, -, -, -,7,1, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -,1, -, -,技職
,,,二專,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,8,4,4, -,2, -, -, -, -, -, -,4,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,131,41,90,4,10,1,1,4,4,10,32,1,6, -, -,2,3, -,3,2, -, -,5,6, -,1,5,3,1,14,4,9,技職
1080,宏國德霖科技大學,新北市,碩士,,2,1,1, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,94,64,30,7,3,12,6,5,3,13,8,13,5,3, -, -,10, -, -, -, -, -, -, -, -,1,3,1,1, -, -, -,技職
,,,四技,修,45,28,17,3,1,3, -,2, -, -, -,16,11, -, -, -,3, -,1, -, -, -, -, -, -,5, -, -, -, -, -, -,技職
,,,二技,修,20,10,10, -,3, -, -, -, -, -, -,8,5,1, -, -, -, -, -, -, -, -, -, -,1,1, -, -,1, -, -, -,技職
,,,五專,,49,32,17,3,2,2, -,9,7,5,3,5,1, -, -, -,8, -, -, -, -, -, -,1, -,3, -, -, -, -, -, -,技職
1081,東方設計大學,高雄市,碩士,,32,20,12, -, -, -, -, -, -, -, -,4,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,16,11, -, -,技職
,,,碩士,職,8, -,8, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,6, -, -,技職
,,,四技,,96,63,33,3,3,3, -, -, -, -, -,4,4, -, -, -,3, -, -, -, -, -, -, -, -, -, -, -,44,21,6,5,技職
,,,四技,修,13,5,8, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,3,8,1, -,技職
,,,二技,,6, -,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,4, -,2,技職
,,,二技,修,28,14,14, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,14,14, -, -,技職
,,,二專,修,65,33,32, -, -, -, -, -, -, -, -,2,1, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,30,31, -, -,技職
,,,五專,,74,39,35, -,3, -, -, -, -,1,1,3,1, -, -, -,1, -,1, -, -, -, -, -, -, -,1,1,23,26,9,3,技職
1082,崇右影藝科技大學,基隆市,碩士,,3,1,2, -, -, -,1, -, -, -, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,59,21,38,2,5,3,11,3,2,1,6,7,9,2, -,2,5, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -,技職
,,,二技,修,1,1, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,1, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1083,台北海洋科技大學,新北市,碩士,,33,26,7, -,1, -, -, -, -,1, -,18,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,6,1,1, -,技職
,,,四技,,206,132,74,4,6,19,14, -, -,31,20,38,17, -, -, -,12, -,1, -, -, -, -, -, -, -, -, -,25,13,2,4,技職
,,,四技,修,23,13,10, -,3,3,2, -, -,2,1,5,2,2, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
,,,二技,,17,16,1,1, -,2, -, -, -,1,1,3, -, -, -, -,4, -, -, -, -, -, -, -, -, -, -, -,5, -, -, -,技職
,,,二技,修,30,12,18, -, -,1,6, -, -,1,1,8,9,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1,技職
,,,二專,,2,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -,技職
,,,二專,修,12,9,3, -, -,3,3, -, -, -, -,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,技職
,,,五專,,84,57,27,2,1,10,5, -, -,14,9,16,6, -, -,1,7, -, -, -, -, -, -, -, -, -, -, -,8,5, -, -,技職
1084,亞東科技大學,新北市,碩士,,10,4,6, -,1,1,1, -, -, -, -,3,4, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,198,148,50,7,6,25,7,18,7,21,4,54,13,1, -, -,5, -,2,1, -, -,12,11,1, -,2, -, -, -,1, -,技職
,,,二技,,5,1,4, -,1, -,2, -, -,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,7, -,7, -,1, -,1, -, -, -, -, -,3, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1125,中信金融管理學院,臺南市,碩士,,11,5,6, -, -, -, -, -, -, -, -,4,5, -, -, -,1, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -,一般
,,,碩士,職,6,3,3, -, -, -, -, -, -, -, -,3,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,6,5,1, -, -, -, -, -, -,5, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,一般
1148,大漢技術學院,花蓮縣,碩士,,36,27,9,1, -,1, -, -, -, -, -,10,6, -, -, -, -, -, -, -,14,2, -,1,1, -, -, -, -, -, -, -,技職
,,,四技,,31,21,10,1,1,3,1,4,7,6,1,2, -, -, -, -,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,修,33,18,15, -,1, -,1,1, -,1,1,12,8,1, -, -,4, -, -, -, -, -, -,1, -,2, -, -, -, -, -, -,技職
,,,二技,修,27,16,11, -,1, -, -, -, -, -, -,11,7, -,1,1,2, -,1, -, -, -,1, -, -,1, -,1, -, -, -, -,技職
,,,二專,修,19,9,10, -, -, -, -, -, -,1,1,7,6,1, -, -, -, -, -, -, -, -, -, -,1,1, -, -, -, -, -,1,技職
1159,和春技術學院,高雄市,四技,,6,3,3,1, -, -, -, -, -, -, -,2,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,技職
,,,四技,修, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二技,修,5,3,2, -, -, -, -, -, -, -, -,3,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,4,4, -, -, -, -, -, -, -, -, -,3, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,2,2, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,技職
1168,南亞技術學院,桃園市,碩士,,5,5, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,4, -, -, -, -, -, -, -, -, -, -, -,技職
,,,四技,,131,98,33,9,2,21,6, -, -,20,3,15,12,1, -,3,18, -, -, -, -, -,3, -,5,2, -, -,7,4, -, -,技職
,,,四技,修,68,37,31, -,2,5,3, -, -, -,1,14,10,8, -,2,8, -, -, -, -, -,1, -,1,2,1, -,7,3, -, -,技職
,,,二技,修,102,65,37, -,4,1,1, -, -,1,2,54,19,4,2,3,1, -, -, -, -, -, -, -,3,4, -, -,3, -, -, -,技職
,,,二專,修,7,6,1, -, -, -, -, -, -,1, -,5,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,33,24,9, -, -,4, -, -, -,3,1,13,6, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -,4,1, -, -,技職
1182,蘭陽技術學院,宜蘭縣,四技,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1183,黎明技術學院,新北市,四技,,284,161,123,5,8,22,21,15,3,29,24,48,42, -, -, -,19, -, -,1, -, -,10,13,2,2, -, -, -, -,11,9,技職
,,,四技,修,69,48,21,2,3,7,2, -, -,2,4,22,10, -, -, -,2, -, -, -, -, -,3,1,2, -, -, -,8,1, -, -,技職
,,,二技,修,6,2,4, -, -, -, -, -, -, -, -,2,4, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,21,20,1, -, -, -, -,3, -,5, -,8, -, -, -, -,2, -, -, -, -, -,2, -, -, -, -,1, -, -, -, -,技職
1185,經國管理暨健康學院,基隆市,碩士,,13,2,11,1, -, -,2, -, -, -, -, -,5, -, -, -, -, -, -,1, -,3, -, -, -, -, -, -, -, -,1, -,技職
,,,碩士,職,7,2,5, -, -, -, -, -, -, -, -,2,2, -, -, -, -, -, -, -, -,1, -, -, -,2, -, -, -, -, -, -,技職
,,,四技,,145,53,92,2,6,5,12,2,8,9,13,12,16,3, -,3,5, -,1,1, -, -,4,10, -,5, -, -, -,1,13,14,技職
,,,四技,修,4,3,1, -, -, -, -, -, -, -, -,1, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,1,1, -, -,技職
,,,二技,,7,2,5,1,1, -, -, -, -, -,2,1, -, -, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -,技職
,,,二技,修,34,8,26, -,2,1,1, -,2, -,1,6,13, -, -,3, -, -,1, -, -, -, -,1, -,2, -, -, -,1, -, -,技職
,,,二專,修,14,2,12, -, -, -,1, -, -, -, -,1,7,1, -,1, -, -, -, -, -, -, -, -, -,1, -,1,1, -, -, -,技職
,,,五專,,119,45,74,1,6,3,9,6,16,5,20,8,10, -, -,2,10, -, -, -, -, -,2,3, -, -, -, -, -,1,10,7,技職
1188,大同技術學院,嘉義市,四技,,40,27,13,1,2, -, -, -, -,2,3,7,5,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -,16,2, -, -,技職
,,,四技,修,29,11,18, -,1,1,1, -, -,1, -,5,11,1, -, -, -, -, -,1, -, -, -, -, -, -,1, -, -,1,3,2,技職
,,,二技,修,28,5,23, -, -, -, -, -,1, -,1,5,13,1, -, -, -, -, -, -, -, -, -, -, -,1, -, -, -,2, -,4,技職
,,,二專,修,7,6,1, -, -, -, -, -, -, -, -,5, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,1,技職
,,,五專,,7,5,2, -, -, -, -, -,1,1, -,1, -,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -,2, -, -, -,技職
1195,馬偕醫學院,新北市,碩士,,16,6,10, -,1, -, -, -, -,1,2,3,3, -, -, -, -, -, -, -,1,2, -, -, -,1, -, -, -, -,1,1,一般
,,,碩士,職,4,1,3, -,1, -, -, -, -, -, -,1,1, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -,一般
,,,學士,,25,9,16,1,2, -, -, -, -,7,10, -,1, -, -, -, -, -,1,1, -, -, -, -, -, -, -, -, -, -, -,2,一般
,,,二技,修,1, -,1, -, -, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
1196,法鼓文理學院,新北市,博士,,9,1,8, -,1, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -, -,6, -, -, -, -, -, -, -, -,1, -,一般
,,,碩士,,78,26,52,3,2, -,4, -, -, -, -,8,14, -, -,1,2, -,1, -,8,28, -, -,3,2, -, -, -, -,1,1,一般
,,,學士,,2, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2,一般
1282,馬偕醫護管理專科學校,臺北市,二專,,2, -,2, -, -, -, -, -, -, -, -, -,2, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,8,4,4,1, -,1, -, -, -, -,1,2,2,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,98,23,75, -,5,1,5,7,7,11,40,1,6,2, -,1,1, -, -,2, -, -,1,6,1,1, -, -, -, -, -, -,技職
1283,仁德醫護管理專科學校,苗栗縣,二專,修,8,2,6,1,1, -, -, -, -, -,1,1,2,1, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,143,46,97,5,12,5,9,10,13,17,42,3,7,3, -, -,4, -, -, -, -, -,2,9, -,2, -, -, -, -, -, -,技職
1284,樹人醫護管理專科學校,高雄市,二專,修,92,50,42,1,5,1, -, -, -,10,7,26,20,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,12,9,技職
,,,五專,,219,64,155,2,28, -, -,7,13,41,82,7,10,2, -, -,3, -,1, -, -, -,1,11, -, -, -, -, -, -,2,9,技職
1285,慈惠醫護管理專科學校,屏東縣,二專,,24,10,14, -, -,4,7, -, -,2,1,1,2, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -,2,4, -, -,技職
,,,二專,修,47,16,31, -,5,1,3, -,1,1, -,8,8,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,6,11,技職
,,,五專,,420,123,297,7,35,25,62,9,10,31,85,22,28,5, -,2,15,6, -,1, -, -,3,15, -,3, -, -,11,45, -, -,技職
1286,耕莘健康管理專科學校,新北市,二專,修,13,2,11, -,3, -, -,1, -, -, -, -,3, -, -,1, -, -, -, -, -, -, -, -, -,3, -, -, -, -,1,1,技職
,,,五專,,150,19,131,1,12, -, -,2,11,11,72,2,9, -, -,1, -, -, -,1, -, -, -,4, -,3, -,3,2,7,1,8,技職
1287,敏惠醫護管理專科學校,臺南市,二專,修,7,1,6,1,2, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3,技職
,,,五專,,97,12,85,1,16,3,5, -,7,3,15, -,3, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -,10,5,28,技職
1289,育英醫護管理專科學校,高雄市,五專,,85,22,63, -,7, -,4,2,21,18,14, -,5, -, -, -, -, -, -,1, -, -,1,4,1,7, -, -, -, -, -, -,技職
1291,聖母醫護管理專科學校,宜蘭縣,二專,,1, -,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,二專,修,6,4,2, -, -, -, -, -, -, -, -,4,1, -, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,101,26,75,2,5, -,6,4,10,6,30,7,9,4, -,1,1,1, -, -, -, -,2,6,1,1,2,1, -, -,1,1,技職
1292,新生醫護管理專科學校,桃園市,二專,修,6, -,6, -,1, -, -, -,1, -,1, -,3, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,技職
,,,五專,,237,36,201,1,22,5,10,15,49,3,22,4,16,5, -,4, -, -, -,1, -, -,3,22, -,1, -, -, -, -,5,49,技職
1293,崇仁醫護管理專科學校,嘉義縣,五專,,79,17,62,1,11,1,2,2,5,5,26,2,1,1, -, -, -, -, -,1, -, -,2,11, -, -, -, -, -,1,4,3,技職
3002,臺北市立大學,臺北市,博士,,68,28,40,2,2,1,1, -, -, -, -,11,19,1,2,5, -, -, -,1,11,7, -, -, -,3, -, -, -, -,1,1,一般
,,,碩士,,267,90,177,2,8,1,9,1,1,5,2,46,66,7,5,21,2, -,5,7,15,36, -,2,2,6,2,7, -, -,4,5,一般
,,,碩士,職,208,50,158,2,13,2,1, -, -, -,2,26,74,6,6,20, -, -,1,3,7,23, -, -,4,10,2,1, -, -, -,5,一般
,,,學士,,186,114,72,7,9,12,5,11,6,24,18,27,8, -, -, -,4, -,8,13, -, -,6,2,1, -,8,8,2,1,4,2,一般
